,product_id,title,link,discount_price,regular_price,brand
257,170027,"Сухой корм для беременных кошек и котят до 4 месяцев, с куриной грудкой, 10 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-beremennyh-koshek-i-kotyat-do-4-mes-s-kurinoy-grudkoy-10kg.html?offer=170028,5950,8499,Мираторг
258,163724,"Сухой корм для кошек для поддержания здоровья почек, с лососем, 2,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-zdorove-pochek-s-lososem-2-5kg.html?offer=163725,985,1407,Perfect Fit
259,158584,"Immunity Корм сухой для кошек, говядина, семена льна и голубика, 5,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/immuniti-korm-sukhoy-dlya-koshek-govyadina-semena-lna-i-golubika-5-5kg.html?offer=158585,2258,3225,Perfect Fit
260,158582,"Immunity Корм сухой для кошек, индейка, спирулина и клюква, 580 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/immuniti-korm-sukhoy-dlya-koshek-indeyka-spirulina-i-klyukva-580g.html?offer=158583,292,417,Perfect Fit
261,158578,"Immunity Корм сухой для кошек, говядина, семена льна и голубика, 580 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/immuniti-korm-sukhoy-dlya-koshek-govyadina-semena-lna-i-golubika-1-1kg.html?offer=158579,515,735,Perfect Fit
262,146925,Двойная Вкуснятина для взрослых кошек с рыбой 200 г,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/dvoynaya-vkusnyatina-dlya-vzroslyh-koshek-s-ryboy-200-g.html?offer=146926,115,135,Felix
263,146923,"Двойная Вкуснятина сухой корм для взрослых кошек для взрослых кошек с птицей, 200 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/dvoynaya-vkusnyatina-dlya-vzroslyh-koshek-s-pticey-200-g.html?offer=146924,115,135,Felix
264,146921,"Двойная Вкуснятина сухой корм для взрослых кошек для взрослых кошек с мясом, 200 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/dvoynaya-vkusnyatina-dlya-vzroslyh-koshek-s-myasom-200-g.html?offer=146922,115,135,Felix
265,134558,"Мясное объедение сухой корм для взрослых кошек с говядиной, 600 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/felix-600g-dlya-koshek-myasnoe-obedenie-govyadina.html?offer=134559,280,345,Felix
266,134555,"Мясное объедение сухой корм для взрослых кошек с курицей, 200 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/felix-1-3kg-dlya-koshek-myasnoe-obedenie-kurica.html?offer=134556,612,719,Felix
267,115007,"Корм сухой для кошек для красоты шерсти и здоровья кожи с индейкой, 650г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-krasota-shersti-i-zdorove-kozhi-s-indeykoy.html?offer=115008,292,417,Perfect Fit
268,112321,"Двойная Вкуснятина сухой корм для котят до 1 года для котят до 1 года с курочкой, 600 г",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/felix-d-kotyat-dvoynvkus-kurochka-8x600g.html?offer=112322,280,345,Felix
269,66360,"Корм сухой для домашних кошек с курицей, 650 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Perfect_Fit_suhoy_korm_dlya_domashnih_koshek_kuritsa.html?offer=42968,292,417,Perfect Fit
270,43418,"Cухой корм для котят от 2 до 12 месяцев с курицей, 190 г",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/Perfect_Fit_Junior_suhoy_korm_dlya_kotyat_kuritsa.html?offer=41872,292,417,Perfect Fit
271,41874,"Корм сухой для кошек с чувствительным пищеварением с индейкой, 650 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Perfect_Fit_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeyka.html?offer=41875,292,417,Perfect Fit
272,41870,"Корм сухой для стерилизованных кошек с курицей, 650 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Perfect_Fit_suhoy_korm_dlya_kastrirovannyh_kotov_i_sterilizovannyh_koshek_kuritsa.html?offer=41873,292,417,Perfect Fit
273,31093,"Корм сухой для стерилизованных кошек с говядиной, 650 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Korm_suhoy_Perfekt_Fit_dlya_sterilizovannyh_kotov_i_koshek_s_govyadinoypak__650g_1020581.html?offer=31094,292,417,Perfect Fit
274,31089,"Корм сухой для стерилизованных кошек старше 7 лет с курицей, 650 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Korm_suhoy_Perfekt_Fit_dlya_koshek_starshe_7_let_s_kuritsey_pak__650g_1020578.html?offer=31090,292,417,Perfect Fit
275,167749,"Сухой корм для кошек с паштетом, курица и индейка, 1,9 кг (подушечки ассорти)",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-assorti-podushechki-s-pashtetom-kurica-indeyka-1-9kg.html?offer=167750,819,819,Whiskas
276,163722,"Корм сухой для стерилизованных кошек, с лососем,10 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem-10kg.html?offer=163723,5435,5435,Perfect Fit
277,135529,"Корм сухой для кошек Курочка аппетитная, 800 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-appetitnaya-kurochka.html?offer=135530,233,233,Kitekat
278,129578,"Корм сухой для кошек подушечки паштет говядина, 13,8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-podushechki-pashtet-govyadina4.html?offer=129579,5167,5167,Whiskas
279,129576,"Корм сухой для кошек подушечки паштет курица и индейка, 13,8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-podushechki-pashtet-kurica-i-indeyka.html?offer=129577,5167,5167,Whiskas
280,128786,"Корм сухой для кошек подушечки паштет говядина, 5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-podushechki-pashtet-govyadina3.html?offer=128787,2125,2125,Whiskas
281,128780,"Корм сухой для кошек подушечки паштет говядина, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-podushechki-pashtet-govyadina.html?offer=128781,163,163,Whiskas
282,43420,"Корм сухой для стерилизованных кошек с курицей, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Korm_Viskas_suhoy_dlya_sterilizovannyh_koshek_i_kastrirovannyhkotovkuritsa.html?offer=43421,2125,2125,Whiskas
283,41833,"Корм для взрослых кошек, телятинка аппетитная, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Kitekat_suhoy_korm_dlya_koshek_Appetitnaya_telyatinka.html?offer=41834,107,107,Kitekat
284,41831,"Корм сухой для взрослых кошек, мясной пир, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Kitekat_suhoy_korm_dlya_koshek_Myasnoy_pir.html?offer=41832,107,107,Kitekat
285,41825,"Корм для кошек старше 1 года, вкусные подушечки с нежным паштетом, аппетитное ассорти с курицей и индейкой, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Whiskas_suhoy_korm_dlya_koshek_Vkusnye_podushechki_s_negnym_pashtetom_kuritsaindeyka.html?offer=41826,163,163,Whiskas
286,41821,"Корм для котят от 2 до 12 месяцев, вкусные подушечки с молоком, аппетитное ассорти с индейкой и морковью, 350 г",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/Whiskas_suhoy_korm_dlya_kotyat_assorti_indeykamorkov_i_podushechki_s_molokom.html?offer=41822,163,163,Whiskas
287,31169,"Science Plan Perfect Weight Сухой корм для взрослых кошек, склонных к избыточному весу, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Korm_dlya_koshek_Hills_idelnyy_ves_s_kuritsey.html?offer=31170,3499,3499,Hills
288,31057,"Корм для стерилизованных кошек и котов старше 1 года, с говядиной и вкусными подушечками, 350 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Korm_dlya_koshek_Viskas__suhoy__dlya_sterilizovanyh_koshek_i_kastrirovannyhkotov_govyadina_up__350g_1016207.html?offer=31058,163,163,Whiskas
289,42599,"Prescription Diet l/d Сухой диетический корм для кошек при заболеваниях печени, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Hills_LD_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_pecheni_1004602.html?offer=42600,4299,4299,Hills
290,46717,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 300 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotovsterilizovannyh_koshek_starshe_7et.html?offer=49344,579,579,Hills
291,42543,"HA St/Ox Hypoallergenic Сухой диетический корм при пищевой непереносимости для кошек, 325 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html?offer=42556,1125,1125,PRO PLAN® Veterinary Diets
292,46719,"Science Plan Сухой корм для взрослых стерилизованных кошек и кастрированных котов, с курицей, 300 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotov_6_mes_6et.html?offer=46728,569,569,Hills
293,170341,"Holistic Сухой корм гипоаллергенный для стерилизованных кошек, индейка и рис, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/suhoy-korm-dlya-sterilizovannyh-koshek-indeyka-i-ris-gipoallergenik.html?offer=170344,399,399,MEAT GARDEN
294,108461,"Sterilised Сухой корм для взрослых стерилизованных кошек и кастрированных котов, с треской и форелью, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-cat-d-ster-treska-forel-400g.html?offer=108462,629,629,PRO PLAN®
295,159391,"Natural Cat Сухой корм для взрослых кошек с цыпленком и коричневым рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-dlya-vzroslyh-koshek-cyplenok-i-korichnevyy-ris-pak-1-5kg.html?offer=159392,1975,1975,Guabi Natural
296,80053,"Science Plan Сухой корм для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/hills-dlya-koshek-kurica-mesh-5kg.html?offer=104623,4869,4869,Hills
297,135823,"Корм сухой для взрослых привередливых кошек с ягненком, 300 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-priveredlivyh-koshek-s-yagnenkom.html?offer=135824,279,279,UnoCat
298,71662,"Kitten Корм сухой для котят в возрасте до 12 месяцев, беременных и кормящих кошек, с курицей, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/grandin-dlya-kotyat-s-kuricey-pak-400g.html?offer=71663,599,599,Grandin
