,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
141,228811,"Кофе Fort в зернах, 1кг",/products/1kg-kofe-fort-zerno,809,769,"[(749, 'от 1 шт')]","('FORT',)"
142,459852,"Кофе Жокей Триумф растворимый сублимированный, 150г",/products/zhokej-sublimirovannyj-triumf-150g,309,289,"[(249, 'от 1 шт'), (229, 'от 16 шт')]","('ЖОКЕЙ',)"
143,463833,"Кофе Ambassador Platinum растворимый, 190г",/products/ambassador-platinum-190g,479,0,"[(479, 'от 1 шт')]","('AMBASSADOR',)"
144,469367,"Кофе Jardin Kenya Kilimanjaro растворимый, 95г",/products/jardin-kenya-kilimanjaro-95-g,251,229,"[(229, 'от 1 шт'), (203, 'от 24 шт')]","('JARDIN',)"
145,226342,"Кофе Lebo Gold в зернах, 1кг",/products/1kg-kofe-lebo-gold-v-zernah,1789,1499,"[(1399, 'от 1 шт')]","('LEBO',)"
146,130173,"Кофе Egoiste Double Espresso растворимый, 70г",/products/egoiste-double-espresso-70g,329,249,"[(199, 'от 1 шт')]","('EGOISTE',)"
147,604157,"Кофе Nescafe Gold растворимый сублимированный, 500г",/products/nescafe-sublimirovannyj-gold-500g,1399,1099,"[(1099, 'от 1 шт')]","('NESCAF',)"
148,221902,"Кофе в капсулах Carraro Dolci arabica для кофемашин Nespresso 10шт, 55г",/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-dolci-arabica,439,369,"[(369, 'от 1 шт')]","('CARRARO',)"
149,33501,"Кофе Nescafe Gold растворимый, 130г",/products/nescafe-gold-rastvorimyj-130g-paket,419,399,"[(399, 'от 1 шт')]","('NESCAF',)"
150,246066,"Кофе Alta Roma Blend №1, 1кг",/products/1kg-kofe-alta-roma-blend-1-zernovoy,1529,1399,"[(1299, 'от 1 шт'), (1199, 'от 6 шт')]","('ALTAROMA',)"
151,226934,"Кофе Italco Espresso Italiano в зернах, 1кг",/products/1kg-kofe-italco-espresso-italiano-v-zernah,1789,1499,"[(1449, 'от 1 шт')]","('ITALCO',)"
152,223097,"Кофе в капсулах Absolut Drive Espresso Original для кофемашин Dolce Gusto16шт, 96г",/products/16shth6g-kofe-absolut-espresso-kapsuly-dg,469,419,"[(389, 'от 1 шт')]","('ABSOLUT',)"
153,246068,"Кофе Alta Roma Blend №5, 1кг",/products/kofe-alta-roma-blend-5-1kg,1499,1369,"[(1369, 'от 1 шт'), (1199, 'от 6 шт')]","('ALTAROMA',)"
154,218717,"Кофе Poetti Leggenda Espresso в зернах, 1кг",/products/1kg-kofe-poetti-leggenda-espresso-v-zernah,1669,1399,"[(1389, 'от 1 шт')]","('POETTI',)"
155,8486,"RIOBA Кофе в капсулах Dolce Gusto Espresso 16шт, 112г",/products/rioba-dolce-gusto-espresso-16sht,519,399,"[(379, 'от 1 шт')]","('RIOBA',)"
156,228238,"Кофе Jardin Гватемала Атитлан растворимый, 75г",/products/75g-kofe-jardin-gvatemala-atitlan-rastvorimyy,242,189,"[(189, 'от 1 шт')]","('JARDIN',)"
